Level,Title,Enterprise Item Number,Revision,Title (Instance),Is Latest Revision,Maturity State,Owner,Lock,Modification Date,Type,Name,Density [kg/m^3],Mass [kg]
2,y_nut_06,None,A.1,y_nut_06.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454256,6860,0.00261
2,y_screw_07,None,A.1,y_screw_07.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454257,6860,0.005891
2,y_nut_07,None,A.1,y_nut_07.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454258,6860,0.00261
2,y_screw_08,None,A.1,y_screw_08.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454259,6860,0.005891
2,y_nut_08,None,A.1,y_nut_08.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454260,6860,0.00261
2,y_screw_09,None,A.1,y_screw_09.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454261,6860,0.005891
2,y_nut_09,None,A.1,y_nut_09.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454262,6860,0.00261
2,y_screw_10,None,A.1,y_screw_10.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454263,6860,0.005891
2,y_nut_10,None,A.1,y_nut_10.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454264,6860,0.00261
2,y_screw_11,None,A.1,y_screw_11.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454265,6860,0.005891
2,y_nut_11,None,A.1,y_nut_11.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454266,6860,0.00261
2,y_screw_12,None,A.1,y_screw_12.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454267,6860,0.005891
2,y_nut_12,None,A.1,y_nut_12.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454268,6860,0.00261
2,y_screw_13,None,A.1,y_screw_13.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454269,6860,0.005891
2,y_nut_13,None,A.1,y_nut_13.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454270,6860,0.00261
2,y_screw_14,None,A.1,y_screw_14.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454271,6860,0.005891
2,y_nut_14,None,A.1,y_nut_14.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454272,6860,0.00261
2,y_screw_15,None,A.1,y_screw_15.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454273,6860,0.005891
2,y_nut_15,None,A.1,y_nut_15.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454274,6860,0.00261
1,3D WHEEL Z,None,A.1,3D WHEEL Z.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:02:15 AM",Physical Product,prd-R1132100679051-01454277,,
2,z_wheel,None,A.1,z_wheel.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454170,1290,0.098756
2,z_shaft,None,A.1,z_shaft.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454172,6860,0.002543
2,z_screw_00,None,A.1,z_screw_00.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454173,6860,0.005891
2,z_nut_00,None,A.1,z_nut_00.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454174,6860,0.00261
2,z_screw_01,None,A.1,z_screw_01.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454175,6860,0.005891
2,z_nut_01,None,A.1,z_nut_01.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454176,6860,0.00261
2,z_screw_02,None,A.1,z_screw_02.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454177,6860,0.005891
2,z_nut_02,None,A.1,z_nut_02.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454178,6860,0.00261
2,z_screw_03,None,A.1,z_screw_03.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454179,6860,0.005891
2,z_nut_03,None,A.1,z_nut_03.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454180,6860,0.00261
2,z_screw_04,None,A.1,z_screw_04.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454181,6860,0.005891
2,z_nut_04,None,A.1,z_nut_04.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454182,6860,0.00261
2,z_screw_05,None,A.1,z_screw_05.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454183,6860,0.005891
2,z_nut_05,None,A.1,z_nut_05.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454184,6860,0.00261
2,z_screw_06,None,A.1,z_screw_06.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454185,6860,0.005891
2,z_nut_06,None,A.1,z_nut_06.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454186,6860,0.00261
2,z_screw_07,None,A.1,z_screw_07.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454187,6860,0.005891
2,z_nut_07,None,A.1,z_nut_07.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454188,6860,0.00261
2,z_screw_08,None,A.1,z_screw_08.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454189,6860,0.005891
2,z_nut_08,None,A.1,z_nut_08.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454190,6860,0.00261
2,z_screw_09,None,A.1,z_screw_09.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454191,6860,0.005891
2,z_nut_09,None,A.1,z_nut_09.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454192,6860,0.00261
2,z_screw_10,None,A.1,z_screw_10.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454193,6860,0.005891
2,z_nut_10,None,A.1,z_nut_10.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454194,6860,0.00261
2,z_screw_11,None,A.1,z_screw_11.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454195,6860,0.005891
2,z_nut_11,None,A.1,z_nut_11.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454196,6860,0.00261
