14843	-1.188	-38.054	36.015	1.20	-3.31	2.70	-0.024	-0.008	-0.004	0.0191	-0.0682	0.0799	0.0000	0.0000	0.0000	0	1.00
14850	-1.192	-38.068	36.025	1.01	-3.35	2.83	-0.015	0.018	-0.007	0.0163	-0.0715	0.0807	0.0000	0.0000	0.0000	0	1.00
14858	-1.198	-38.084	36.035	0.76	-3.49	3.21	-0.035	-0.009	-0.014	0.0136	-0.0790	0.0856	0.0000	0.0000	0.0000	0	1.00
14865	-1.204	-38.101	36.046	0.54	-3.46	3.50	-0.021	-0.018	-0.015	0.0121	-0.0828	0.0879	0.0000	0.0000	0.0000	0	1.00
14872	-1.205	-38.116	36.060	0.24	-3.55	3.58	-0.020	-0.012	-0.017	0.0063	-0.0873	0.0875	0.0000	0.0000	0.0000	0	1.00
14880	-1.200	-38.129	36.078	0.32	-3.74	3.48	-0.005	-0.019	-0.012	0.0056	-0.0888	0.0884	0.0000	0.0000	0.0000	0	1.00
14887	-1.192	-38.140	36.095	0.85	-4.29	3.29	-0.014	-0.030	0.003	0.0100	-0.0918	0.0947	0.0000	0.0000	0.0000	0	1.00
14894	-1.174	-38.145	36.116	1.15	-4.65	2.92	-0.019	-0.005	0.038	0.0103	-0.0921	0.0952	0.0000	0.0000	0.0000	0	1.00
14902	-1.154	-38.150	36.138	2.01	-4.96	2.70	-0.014	-0.010	0.045	0.0222	-0.0887	0.1016	0.0000	0.0000	0.0000	0	1.00
14909	-1.138	-38.154	36.156	2.03	-5.20	2.38	-0.005	0.006	0.049	0.0185	-0.0894	0.0992	0.0000	0.0000	0.0000	0	1.00
14917	-1.130	-38.161	36.171	2.09	-5.24	2.25	0.008	0.002	0.068	0.0184	-0.0884	0.0982	0.0000	0.0000	0.0000	0	1.00
14924	-1.127	-38.169	36.181	1.58	-4.63	2.26	0.024	-0.031	0.033	0.0133	-0.0825	0.0886	0.0000	0.0000	0.0000	0	1.00
14931	-1.121	-38.176	36.193	1.22	-4.35	2.02	0.046	-0.003	0.028	0.0068	-0.0786	0.0796	0.0000	0.0000	0.0000	0	1.00
14939	-1.113	-38.183	36.207	1.06	-4.04	1.98	0.066	-0.020	0.014	0.0057	-0.0745	0.0749	0.0000	0.0000	0.0000	0	1.00
14946	-1.101	-38.190	36.224	1.00	-4.26	1.94	0.055	-0.001	-0.007	0.0027	-0.0781	0.0758	0.0000	0.0000	0.0000	0	1.00
14953	-1.082	-38.196	36.246	1.54	-4.56	1.81	0.057	0.030	-0.018	0.0095	-0.0777	0.0810	0.0000	0.0000	0.0000	0	1.00
14961	-1.056	-38.199	36.272	2.05	-5.04	1.67	0.033	0.042	-0.013	0.0145	-0.0804	0.0876	0.0000	0.0000	0.0000	0	1.00
