# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
15072	0	0.0000	0	1.094	-38.019	37.990	8.82	4.22	4.47	-0.015	-0.022	0.044
15079	0	0.0000	0	1.103	-38.018	37.996	8.07	3.46	3.44	-0.018	-0.021	0.020
15086	0	0.0000	0	1.114	-38.016	38.004	7.16	2.91	2.47	-0.026	-0.029	0.009
15093	0	0.0000	0	1.126	-38.012	38.010	6.21	2.33	1.46	-0.019	-0.021	-0.009
15100	0	0.0000	0	1.141	-38.007	38.019	5.48	1.03	0.85	-0.029	0.001	-0.023
15107	0	0.0000	0	1.160	-37.999	38.028	4.84	0.39	-0.40	-0.022	0.013	-0.036
15114	0	0.0000	0	1.184	-37.987	38.037	4.05	-0.29	-1.59	-0.028	0.015	-0.031
15121	0	0.0000	0	1.219	-37.967	38.048	3.85	-0.51	-3.27	-0.018	0.020	-0.028
15128	0	0.0000	0	1.253	-37.946	38.058	3.20	-0.83	-5.15	-0.003	0.004	-0.012
15135	0	0.0000	0	1.290	-37.924	38.069	2.56	-1.19	-6.81	0.016	0.007	-0.009
15142	0	0.0000	0	1.327	-37.901	38.079	1.93	-2.15	-7.85	0.020	0.011	0.009
15149	0	0.0000	0	1.366	-37.879	38.092	1.75	-2.77	-8.21	0.034	-0.009	0.001
15156	0	0.0000	0	1.396	-37.862	38.101	0.86	-3.54	-8.46	0.026	-0.010	-0.007
15163	0	0.0000	0	1.430	-37.843	38.113	0.01	-4.73	-8.53	0.032	-0.006	-0.013
15170	0	0.0000	0	1.469	-37.820	38.125	-0.56	-5.43	-8.96	0.030	-0.003	-0.015
15177	0	0.0000	0	1.505	-37.797	38.134	-1.01	-5.81	-9.18	0.024	-0.002	-0.017
15184	0	0.0000	0	1.543	-37.769	38.141	-1.46	-6.23	-10.11	0.000	-0.018	-0.010
15191	0	0.0000	0	1.587	-37.738	38.149	-1.68	-6.58	-10.81	-0.037	-0.010	-0.005
15198	0	0.0000	0	1.637	-37.701	38.158	-1.36	-6.72	-11.83	-0.045	0.002	0.004
15205	0	0.0000	0	1.685	-37.666	38.165	-1.44	-7.04	-13.01	-0.057	-0.002	0.023
15213	0	0.0000	0	1.730	-37.632	38.172	-1.56	-7.63	-13.26	-0.061	-0.001	0.007
15220	0	0.0000	0	1.771	-37.601	38.178	-1.60	-7.88	-13.08	-0.057	0.009	0.013
15227	0	0.0000	0	1.809	-37.574	38.185	-2.06	-8.72	-12.72	-0.044	0.007	-0.018
15234	0	0.0000	0	1.846	-37.549	38.193	-2.60	-9.48	-11.84	-0.028	0.018	-0.028
15241	0	0.0000	0	1.884	-37.525	38.204	-2.59	-10.52	-11.67	-0.007	0.003	-0.036
15248	0	0.0000	0	1.933	-37.495	38.217	-2.30	-10.69	-11.68	0.004	0.003	-0.038
