# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
75826	1	0.0500	1	-3.721	-37.086	32.842	-18.07	-10.40	-8.57	6.080	62.200	-0.025
75833	1	0.0500	1	-3.752	-37.107	32.836	-17.30	-9.84	-8.95	6.022	57.618	-0.038
75840	1	0.0500	1	-3.764	-37.118	32.837	-15.91	-10.48	-10.02	5.976	59.095	-0.021
75847	1	0.0500	1	-3.766	-37.123	32.840	-13.62	-10.88	-10.43	5.879	65.137	-0.015
75854	1	0.0500	1	-3.768	-37.130	32.845	-12.28	-12.07	-10.15	5.799	64.278	-0.003
75861	1	0.0500	1	-3.789	-37.141	32.837	-11.21	-11.80	-10.22	5.681	61.594	0.008
75869	1	0.0500	1	-3.839	-37.166	32.817	-12.00	-11.25	-9.67	5.624	65.576	-0.007
75876	1	0.0500	1	-3.913	-37.199	32.783	-13.30	-9.74	-8.51	5.403	66.690	-0.023
75883	1	0.0500	1	-4.009	-37.241	32.740	-15.08	-8.36	-7.47	5.445	61.638	0.001
75890	1	0.0500	1	-4.091	-37.279	32.706	-16.30	-7.09	-6.37	5.370	63.546	-0.002
75897	1	0.0500	1	-4.167	-37.315	32.673	-17.27	-7.04	-5.98	5.346	69.282	0.016
75904	1	0.0500	1	-4.210	-37.342	32.661	-16.17	-7.71	-5.35	5.291	66.816	0.019
75911	1	0.0500	1	-4.232	-37.364	32.664	-14.91	-8.39	-5.60	5.356	65.102	0.044
75918	1	0.0500	1	-4.234	-37.377	32.674	-12.74	-9.76	-6.19	5.373	70.215	0.057
75925	1	0.0500	1	-4.224	-37.385	32.691	-11.15	-10.14	-6.66	5.492	68.575	0.058
75932	1	0.0500	1	-4.212	-37.389	32.706	-9.42	-10.48	-7.52	5.524	64.225	0.048
75939	1	0.0500	1	-4.219	-37.395	32.706	-8.61	-9.98	-7.88	5.576	69.576	0.032
75946	1	0.0500	1	-4.255	-37.412	32.691	-8.65	-8.58	-7.87	5.581	73.134	0.006
75953	1	0.0500	1	-4.315	-37.434	32.659	-9.71	-6.71	-7.20	5.589	68.894	-0.040
75960	1	0.0500	1	-4.399	-37.463	32.613	-10.81	-5.23	-6.84	5.584	71.645	-0.073
75968	1	0.0500	1	-4.485	-37.498	32.571	-11.79	-3.89	-5.93	5.483	73.951	-0.083
75974	1	0.0500	1	-4.565	-37.533	32.535	-12.63	-3.33	-5.02	5.476	68.355	-0.110
75981	1	0.0500	1	-4.620	-37.562	32.515	-12.28	-3.41	-4.24	5.344	71.263	-0.098
75988	1	0.0500	1	-4.660	-37.591	32.509	-11.42	-4.93	-3.68	5.351	76.586	-0.081
75995	1	0.0500	1	-4.675	-37.613	32.517	-10.23	-6.03	-3.66	5.247	72.193	-0.037
76003	1	0.0500	1	-4.676	-37.626	32.528	-7.89	-7.22	-4.07	5.207	74.164	0.004
76010	1	0.0500	1	-4.674	-37.637	32.541	-7.05	-8.15	-4.31	5.377	77.690	0.053
76016	1	0.0500	1	-4.669	-37.642	32.549	-6.23	-7.65	-4.67	5.334	71.511	0.076
76023	1	0.0500	1	-4.678	-37.645	32.544	-6.08	-6.75	-4.98	5.375	73.770	0.096
76030	1	0.0500	1	-4.697	-37.645	32.528	-6.34	-5.86	-4.88	5.407	80.166	0.082
76037	1	0.0500	1	-4.730	-37.646	32.500	-6.64	-4.27	-4.68	5.389	75.790	0.085
76044	1	0.0500	1	-4.771	-37.649	32.467	-7.71	-2.56	-4.78	5.375	77.765	0.052
# PULSE END
76051	1	0.0000	0	-4.807	-37.654	32.440	-7.29	-1.59	-4.16	5.218	80.572	0.041
76058	1	0.0000	0	-4.868	-37.660	32.392	-7.67	0.40	-4.51	5.155	73.749	0.009
76065	1	0.0000	0	-4.912	-37.666	32.359	-7.45	2.93	-3.45	4.960	77.596	-0.033
76072	1	0.0000	0	-4.940	-37.683	32.351	-5.30	3.01	-1.03	4.744	80.678	-0.075
76079	1	0.0000	0	-4.957	-37.706	32.359	-3.19	2.34	1.33	4.633	75.314	-0.127
76086	1	0.0000	0	-4.945	-37.725	32.388	0.27	2.01	3.17	4.424	79.458	-0.151
76093	1	0.0000	0	-4.922	-37.739	32.422	2.04	1.72	4.01	4.289	78.685	-0.147
76100	1	0.0000	0	-4.901	-37.747	32.449	4.39	1.89	5.40	4.211	72.561	-0.128
76107	1	0.0000	0	-4.882	-37.745	32.463	6.68	3.21	6.55	4.037	78.625	-0.092
76114	1	0.0000	0	-4.885	-37.737	32.452	7.19	5.44	7.30	4.016	79.947	-0.048
76121	1	0.0000	0	-4.911	-37.725	32.418	6.56	8.06	7.32	4.105	75.286	0.004
76128	1	0.0000	0	-4.941	-37.705	32.372	6.33	11.48	7.62	4.057	79.988	0.063
76135	1	0.0000	0	-4.978	-37.690	32.325	5.63	13.45	8.46	4.083	76.773	0.099
76142	1	0.0000	0	-5.011	-37.680	32.286	5.27	14.63	9.55	4.128	72.838	0.141
76149	1	0.0000	0	-5.017	-37.670	32.270	7.10	15.19	10.11	4.014	79.612	0.167
76156	1	0.0000	0	-5.005	-37.664	32.276	8.38	14.49	10.81	3.958	77.601	0.166
76163	1	0.0000	0	-4.983	-37.665	32.296	10.61	13.70	11.58	3.917	74.874	0.132
76170	1	0.0000	0	-4.943	-37.660	32.326	13.87	12.62	12.58	3.740	80.051	0.104
76177	1	0.0000	0	-4.911	-37.657	32.352	15.98	12.23	14.35	3.605	75.092	0.049
76184	1	0.0000	0	-4.892	-37.655	32.366	16.79	12.61	15.16	3.557	72.568	-0.016
76191	1	0.0000	0	-4.875	-37.638	32.365	17.98	14.45	16.14	3.383	79.847	-0.059
76198	1	0.0000	0	-4.875	-37.616	32.344	18.76	16.85	17.41	3.211	76.791	-0.103
76205	1	0.0000	0	-4.891	-37.591	32.305	17.74	20.17	17.44	3.185	75.390	-0.126
76212	1	0.0000	0	-4.905	-37.559	32.261	17.60	22.69	17.80	3.113	79.639	-0.104
76219	1	0.0000	0	-4.902	-37.520	32.226	18.34	23.50	18.16	2.899	73.653	-0.088
76226	1	0.0000	0	-4.895	-37.492	32.205	18.98	24.16	18.65	2.779	73.439	-0.069
76233	1	0.0000	0	-4.877	-37.471	32.200	19.44	23.86	19.12	2.815	79.677	-0.033
76240	1	0.0000	0	-4.836	-37.454	32.221	20.72	22.34	20.20	2.779	74.934	0.011
76247	1	0.0000	0	-4.777	-37.439	32.257	22.79	20.75	20.69	2.609	75.529	0.027
76254	1	0.0000	0	-4.706	-37.422	32.304	25.23	19.88	21.64	2.493	79.111	0.054
76261	1	0.0000	0	-4.654	-37.410	32.337	25.97	19.62	22.34	2.546	72.377	0.042
76268	1	0.0000	0	-4.609	-37.394	32.361	25.59	20.15	23.13	2.685	73.538	0.064
76275	1	0.0000	0	-4.566	-37.364	32.370	25.90	21.06	23.60	2.710	79.600	0.065
76282	1	0.0000	0	-4.527	-37.324	32.366	25.95	22.22	23.45	2.671	74.648	0.065
76289	1	0.0000	0	-4.500	-37.279	32.345	25.72	24.68	23.23	2.726	75.853	0.067
76296	1	0.0000	0	-4.476	-37.231	32.319	24.21	26.42	22.80	2.863	78.254	0.058
76303	1	0.0000	0	-4.447	-37.189	32.304	23.86	26.96	22.91	2.898	71.709	0.042
76310	1	0.0000	0	-4.401	-37.150	32.307	24.95	26.81	22.40	2.832	74.376	0.040
76317	1	0.0000	0	-4.350	-37.121	32.323	25.74	26.15	22.70	2.827	78.790	0.013
76324	1	0.0000	0	-4.295	-37.102	32.353	25.88	25.37	22.70	2.908	73.358	-0.015
76332	1	0.0000	0	-4.225	-37.089	32.402	26.82	23.63	23.92	2.916	76.155	-0.050
76339	1	0.0000	0	-4.150	-37.073	32.453	28.81	22.21	24.83	2.770	77.521	-0.089
76346	1	0.0000	0	-4.071	-37.053	32.502	30.10	21.62	25.29	2.616	70.723	-0.100
76353	1	0.0000	0	-4.016	-37.032	32.530	30.18	22.09	25.59	2.593	74.696	-0.103
76360	1	0.0000	0	-3.968	-37.000	32.542	29.53	23.68	25.70	2.612	78.553	-0.082
76367	1	0.0000	0	-3.925	-36.956	32.537	29.09	25.47	25.42	2.484	73.312	-0.052
76374	1	0.0000	0	-3.880	-36.903	32.525	28.94	27.16	24.93	2.263	76.098	-0.008
76381	1	0.0000	0	-3.834	-36.849	32.512	28.85	28.60	24.21	2.049	76.954	0.040
76388	1	0.0000	0	-3.801	-36.805	32.499	28.28	29.59	24.33	1.970	70.537	0.055
76395	1	0.0000	0	-3.765	-36.772	32.498	27.07	29.70	24.79	1.968	74.921	0.081
76402	1	0.0000	0	-3.719	-36.747	32.514	26.94	28.48	25.30	1.946	77.613	0.083
76409	1	0.0000	0	-3.647	-36.723	32.554	28.35	26.60	25.66	1.820	72.377	0.078
76416	1	0.0000	0	-3.555	-36.696	32.609	29.70	25.64	26.01	1.585	75.992	0.071
76423	1	0.0000	0	-3.455	-36.669	32.670	31.69	24.19	26.21	1.330	76.322	0.042
76430	1	0.0000	0	-3.367	-36.641	32.721	33.15	23.50	26.82	1.134	69.872	0.003
76437	1	0.0000	0	-3.293	-36.608	32.755	33.27	23.85	27.61	1.008	74.210	-0.029
76444	1	0.0000	0	-3.240	-36.571	32.765	32.00	25.34	27.61	0.963	77.817	-0.073
76451	1	0.0000	0	-3.201	-36.528	32.757	30.34	26.74	27.54	1.007	72.637	-0.059
76458	1	0.0000	0	-3.167	-36.480	32.741	28.38	28.83	27.21	1.056	75.321	-0.049
76465	1	0.0000	0	-3.128	-36.431	32.726	27.13	29.95	26.59	1.098	76.333	-0.048
76472	1	0.0000	0	-3.074	-36.382	32.726	26.89	29.81	25.49	1.117	70.051	-0.020
76479	1	0.0000	0	-3.002	-36.334	32.742	27.63	29.21	24.72	1.098	73.641	0.016
76486	1	0.0000	0	-2.914	-36.295	32.783	28.81	27.17	24.32	0.988	77.222	0.035
76493	1	0.0000	0	-2.823	-36.270	32.839	30.12	24.62	24.71	0.844	71.977	0.032
76500	1	0.0000	0	-2.739	-36.251	32.894	30.96	22.91	25.69	0.698	74.744	0.012
76507	1	0.0000	0	-2.674	-36.241	32.942	30.88	22.06	26.40	0.555	76.369	-0.004
76514	1	0.0000	0	-2.615	-36.226	32.979	30.00	21.71	27.53	0.422	69.658	-0.031
76521	1	0.0000	0	-2.573	-36.208	32.998	28.71	22.82	28.03	0.290	72.453	-0.031
76528	1	0.0000	0	-2.529	-36.178	33.008	27.62	24.76	27.80	0.185	77.441	-0.001
76535	1	0.0000	0	-2.484	-36.136	33.007	26.97	26.51	27.13	0.060	72.493	0.016
76542	1	0.0000	0	-2.435	-36.085	33.000	26.75	27.47	26.18	-0.053	73.820	0.048
76549	1	0.0000	0	-2.371	-36.031	33.004	26.92	27.95	25.01	-0.170	76.422	0.051
76556	1	0.0000	0	-2.304	-35.985	33.017	27.17	27.34	24.31	-0.275	70.082	0.056
76563	1	0.0000	0	-2.237	-35.951	33.044	27.39	26.09	24.18	-0.383	71.640	0.048
76570	1	0.0000	0	-2.174	-35.932	33.080	27.62	24.67	24.41	-0.480	76.958	0.011
76577	1	0.0000	0	-2.119	-35.925	33.121	27.36	23.03	24.94	-0.568	72.213	-0.013
76584	1	0.0000	0	-2.078	-35.928	33.161	26.91	21.67	26.01	-0.645	72.779	-0.040
76590	1	0.0000	0	-2.033	-35.930	33.203	25.84	21.01	26.47	-0.694	76.476	-0.041
76598	1	0.0000	0	-1.983	-35.922	33.238	25.25	20.96	26.69	-0.719	70.184	-0.043
76605	1	0.0000	0	-1.939	-35.905	33.261	24.53	21.10	26.31	-0.740	70.173	-0.039
76612	1	0.0000	0	-1.884	-35.870	33.275	24.05	21.83	25.65	-0.692	76.806	-0.020
76619	1	0.0000	0	-1.817	-35.820	33.285	23.32	22.79	23.83	-0.643	72.791	0.015
76626	1	0.0000	0	-1.760	-35.772	33.289	23.07	23.22	22.28	-0.546	72.172	0.029
76633	1	0.0000	0	-1.707	-35.728	33.293	22.01	23.45	20.68	-0.430	76.218	0.053
76640	1	0.0000	0	-1.660	-35.691	33.298	21.70	22.76	19.99	-0.293	70.812	0.082
76647	1	0.0000	0	-1.628	-35.674	33.309	20.49	21.59	19.51	-0.151	69.664	0.075
76654	1	0.0000	0	-1.603	-35.672	33.330	19.17	19.93	19.42	0.018	76.187	0.050
76661	1	0.0000	0	-1.580	-35.683	33.361	18.11	18.05	19.62	0.176	72.712	0.014
76668	1	0.0000	0	-1.561	-35.697	33.392	17.66	16.60	19.73	0.310	71.132	0.007
76675	1	0.0000	0	-1.538	-35.710	33.424	17.23	15.06	20.10	0.415	75.971	-0.020
76682	1	0.0000	0	-1.505	-35.709	33.453	16.60	14.08	19.38	0.495	71.077	-0.025
76689	1	0.0000	0	-1.466	-35.697	33.475	16.66	13.86	18.38	0.527	68.489	-0.024
76696	1	0.0000	0	-1.426	-35.672	33.485	16.93	14.25	16.87	0.547	75.274	-0.032
76703	1	0.0000	0	-1.387	-35.637	33.485	16.76	14.36	15.67	0.542	73.981	-0.023
76710	1	0.0000	0	-1.356	-35.598	33.475	16.19	15.09	14.24	0.487	70.650	-0.009
76717	1	0.0000	0	-1.333	-35.563	33.461	14.97	15.90	12.96	0.442	75.356	-0.017
76724	1	0.0000	0	-1.329	-35.540	33.443	13.68	16.37	12.30	0.363	72.068	-0.015
76731	1	0.0000	0	-1.336	-35.535	33.432	12.34	15.99	12.54	0.265	68.210	-0.030
76739	1	0.0000	0	-1.338	-35.539	33.434	11.70	15.21	12.80	0.174	74.372	-0.036
76746	1	0.0000	0	-1.333	-35.552	33.450	10.94	13.58	13.07	0.055	73.896	-0.027
76753	1	0.0000	0	-1.318	-35.567	33.478	11.34	11.46	13.73	-0.070	69.883	-0.022
76760	1	0.0000	0	-1.291	-35.577	33.511	11.66	9.47	13.82	-0.194	74.399	-0.017
76767	1	0.0000	0	-1.257	-35.577	33.542	12.21	8.11	13.58	-0.324	73.027	-0.009
76774	1	0.0000	0	-1.219	-35.568	33.566	12.12	8.03	13.33	-0.393	67.360	0.005
76780	1	0.0000	0	-1.187	-35.550	33.577	11.60	7.92	12.26	-0.438	72.304	0.028
76787	1	0.0000	0	-1.161	-35.522	33.573	10.93	8.70	10.88	-0.454	75.261	0.061
76794	1	0.0000	0	-1.144	-35.491	33.557	9.73	9.70	9.28	-0.433	70.303	0.070
76801	1	0.0000	0	-1.140	-35.462	33.533	8.72	10.60	8.44	-0.364	72.743	0.101
76808	1	0.0000	0	-1.144	-35.442	33.510	6.95	11.19	6.87	-0.275	74.313	0.082
76815	1	0.0000	0	-1.155	-35.438	33.495	5.23	10.52	6.19	-0.173	68.156	0.062
76822	1	0.0000	0	-1.162	-35.444	33.496	4.44	8.74	6.23	-0.067	70.200	0.048
76829	1	0.0000	0	-1.164	-35.461	33.511	3.83	6.96	6.19	0.053	75.224	0.010
76836	1	0.0000	0	-1.154	-35.482	33.540	4.10	4.09	6.78	0.122	70.654	-0.030
76843	1	0.0000	0	-1.137	-35.500	33.573	4.39	1.65	6.50	0.196	70.821	-0.065
76850	1	0.0000	0	-1.116	-35.515	33.606	4.70	-0.29	6.22	0.251	74.864	-0.072
76857	1	0.0000	0	-1.095	-35.520	33.629	4.59	-0.99	5.34	0.281	69.050	-0.063
76865	1	0.0000	0	-1.078	-35.511	33.635	3.80	-0.34	4.00	0.286	68.339	-0.072
76872	1	0.0000	0	-1.074	-35.497	33.625	3.45	0.12	3.16	0.266	74.831	-0.059
76879	1	0.0000	0	-1.081	-35.479	33.601	1.82	1.67	1.33	0.222	72.031	-0.038
76885	1	0.0000	0	-1.094	-35.463	33.574	0.43	3.10	-0.18	0.203	69.780	-0.020
76892	1	0.0000	0	-1.110	-35.453	33.551	-0.66	3.84	-1.00	0.140	74.297	-0.002
76899	1	0.0000	0	-1.127	-35.454	33.537	-1.23	3.19	-1.48	0.070	70.805	0.012
76906	1	0.0000	0	-1.144	-35.467	33.534	-1.66	2.09	-1.53	0.001	67.090	0.014
76914	1	0.0000	0	-1.155	-35.489	33.546	-1.74	-0.03	-1.23	-0.073	73.439	0.023
76921	1	0.0000	0	-1.158	-35.514	33.567	-1.58	-2.67	-0.66	-0.137	72.539	0.000
76928	1	0.0000	0	-1.167	-35.544	33.589	-1.72	-4.76	-0.33	-0.185	68.825	0.011
76935	1	0.0000	0	-1.167	-35.568	33.612	-2.07	-5.49	-0.62	-0.213	73.380	0.012
76942	1	0.0000	0	-1.168	-35.581	33.624	-2.50	-6.04	-0.91	-0.216	71.967	0.032
76949	1	0.0000	0	-1.164	-35.577	33.623	-3.08	-5.64	-1.89	-0.220	66.292	0.050
76956	1	0.0000	0	-1.163	-35.561	33.609	-4.10	-4.51	-3.27	-0.189	70.928	0.057
76963	1	0.0000	0	-1.162	-35.539	33.589	-4.41	-3.39	-4.41	-0.149	74.217	0.071
76970	1	0.0000	0	-1.159	-35.514	33.566	-5.18	-2.38	-5.91	-0.099	69.240	0.071
76977	1	0.0000	0	-1.158	-35.491	33.545	-5.77	-1.87	-7.31	-0.048	71.438	0.049
76984	1	0.0000	0	-1.161	-35.481	33.533	-6.03	-2.54	-8.07	0.003	73.239	0.018
76991	1	0.0000	0	-1.172	-35.485	33.527	-6.48	-3.62	-8.02	0.063	67.192	-0.013
76998	1	0.0000	0	-1.192	-35.505	33.529	-7.37	-5.33	-7.65	0.132	68.809	-0.071
77005	1	0.0000	0	-1.214	-35.532	33.535	-7.80	-7.03	-7.10	0.154	74.049	-0.097
77012	1	0.0000	0	-1.240	-35.563	33.543	-8.28	-8.54	-6.70	0.168	69.796	-0.108
77019	1	0.0000	0	-1.262	-35.591	33.551	-8.91	-9.62	-6.14	0.178	69.294	-0.119
77026	1	0.0000	0	-1.285	-35.612	33.551	-9.20	-9.91	-6.42	0.174	73.630	-0.090
77033	1	0.0000	0	-1.297	-35.619	33.547	-9.04	-10.41	-6.50	0.129	68.346	-0.075
77041	1	0.0000	0	-1.299	-35.610	33.537	-8.93	-9.68	-7.76	0.084	66.419	-0.026
77048	1	0.0000	0	-1.297	-35.593	33.522	-8.50	-9.13	-8.95	0.009	72.932	0.017
77055	1	0.0000	0	-1.303	-35.576	33.500	-8.69	-8.02	-10.60	-0.040	71.784	0.059
77062	1	0.0000	0	-1.318	-35.564	33.475	-8.82	-7.70	-11.32	-0.087	68.236	0.087
77068	1	0.0000	0	-1.340	-35.562	33.454	-9.48	-7.38	-11.61	-0.109	72.472	0.081
77075	1	0.0000	0	-1.375	-35.576	33.436	-10.28	-7.62	-11.33	-0.130	71.105	0.067
77082	1	0.0000	0	-1.415	-35.602	33.427	-11.02	-8.74	-10.63	-0.114	65.843	0.048
77090	1	0.0000	0	-1.458	-35.636	33.422	-11.79	-9.98	-9.88	-0.104	70.372	0.034
77097	1	0.0000	0	-1.494	-35.673	33.426	-11.85	-11.89	-9.28	-0.099	72.700	-0.005
77104	1	0.0000	0	-1.516	-35.703	33.436	-11.78	-13.10	-8.67	-0.067	67.777	-0.024
77111	1	0.0000	0	-1.529	-35.725	33.446	-11.91	-13.68	-8.81	-0.047	70.417	-0.044
77118	1	0.0000	0	-1.537	-35.737	33.451	-11.63	-14.31	-8.67	-0.019	72.461	-0.048
77125	1	0.0000	0	-1.531	-35.732	33.451	-11.34	-14.21	-9.70	0.002	66.257	-0.039
77132	1	0.0000	0	-1.527	-35.719	33.443	-10.92	-13.57	-10.54	0.003	67.090	-0.031
77139	1	0.0000	0	-1.531	-35.703	33.423	-10.94	-13.39	-11.23	0.016	73.120	-0.030
77146	1	0.0000	0	-1.540	-35.690	33.403	-10.94	-12.71	-11.60	0.040	69.905	-0.004
77153	1	0.0000	0	-1.564	-35.683	33.375	-11.75	-11.93	-12.20	0.065	68.379	0.009
77160	1	0.0000	0	-1.597	-35.691	33.354	-12.36	-11.76	-12.39	0.088	72.588	0.011
77167	1	0.0000	0	-1.633	-35.711	33.341	-13.23	-12.45	-11.78	0.107	68.462	0.001
77174	1	0.0000	0	-1.677	-35.745	33.336	-13.52	-13.34	-11.03	0.099	65.451	-0.003
77181	1	0.0000	0	-1.713	-35.784	33.342	-13.72	-14.91	-10.00	0.091	71.356	0.000
77188	1	0.0000	0	-1.747	-35.830	33.357	-13.70	-16.73	-9.05	0.072	71.219	-0.007
77195	1	0.0000	0	-1.774	-35.871	33.373	-13.43	-18.42	-8.15	0.033	66.948	0.012
77202	1	0.0000	0	-1.793	-35.906	33.390	-12.51	-19.27	-7.70	0.001	70.722	0.013
77209	1	0.0000	0	-1.801	-35.928	33.405	-12.37	-18.98	-8.02	-0.050	71.128	0.019
77217	1	0.0000	0	-1.803	-35.940	33.414	-11.71	-19.15	-8.19	-0.092	64.814	0.028
77224	1	0.0000	0	-1.809	-35.943	33.412	-11.19	-18.32	-9.01	-0.112	67.879	0.021
77231	1	0.0000	0	-1.817	-35.943	33.406	-10.98	-17.44	-9.78	-0.119	72.626	0.028
77238	1	0.0000	0	-1.830	-35.945	33.396	-11.48	-16.41	-10.31	-0.115	68.295	0.015
77245	1	0.0000	0	-1.857	-35.954	33.382	-11.60	-15.99	-10.51	-0.081	68.119	-0.007
77252	1	0.0000	0	-1.886	-35.977	33.378	-12.10	-15.83	-10.17	-0.050	71.967	-0.017
77259	1	0.0000	0	-1.919	-36.013	33.383	-12.74	-16.37	-9.41	-0.026	66.974	-0.049
77266	1	0.0000	0	-1.946	-36.056	33.401	-12.75	-17.73	-8.36	0.021	65.245	-0.061
77273	1	0.0000	0	-1.966	-36.104	33.430	-12.27	-19.46	-7.32	0.049	71.388	-0.065
77280	1	0.0000	0	-1.976	-36.151	33.468	-11.39	-21.78	-6.52	0.049	69.866	-0.051
77287	1	0.0000	0	-1.973	-36.192	33.511	-10.60	-22.94	-6.04	0.054	66.362	-0.040
77294	1	0.0000	0	-1.966	-36.224	33.548	-9.71	-23.89	-6.29	0.058	70.623	-0.025
77301	1	0.0000	0	-1.962	-36.248	33.574	-9.36	-23.81	-6.73	0.044	69.978	0.001
77308	1	0.0000	0	-1.962	-36.267	33.593	-8.87	-23.03	-7.26	0.026	64.120	0.021
77315	1	0.0000	0	-1.960	-36.277	33.605	-9.48	-21.69	-7.57	0.026	67.304	0.043
77323	1	0.0000	0	-1.964	-36.289	33.613	-9.55	-20.52	-8.13	0.009	71.893	0.060
77329	1	0.0000	0	-1.970	-36.302	33.620	-9.82	-19.10	-8.44	0.009	67.348	0.072
77337	1	0.0000	0	-1.976	-36.322	33.635	-9.64	-18.45	-8.74	-0.017	67.714	0.067
77344	1	0.0000	0	-1.978	-36.351	33.660	-9.14	-19.02	-8.36	-0.035	71.308	0.047
77351	1	0.0000	0	-1.984	-36.386	33.690	-8.53	-19.94	-8.15	-0.046	66.448	0.031
77358	1	0.0000	0	-1.981	-36.428	33.734	-7.88	-21.13	-7.61	-0.048	64.485	-0.006
77365	1	0.0000	0	-1.972	-36.473	33.785	-7.49	-22.48	-6.97	-0.038	70.415	-0.027
77372	1	0.0000	0	-1.966	-36.518	33.835	-7.22	-23.38	-6.13	-0.027	69.620	-0.059
77379	1	0.0000	0	-1.957	-36.562	33.885	-6.91	-24.11	-5.82	-0.012	65.646	-0.060
77386	1	0.0000	0	-1.941	-36.596	33.932	-6.93	-23.88	-5.50	0.004	69.588	-0.056
77393	1	0.0000	0	-1.912	-36.616	33.978	-6.63	-23.66	-5.71	0.016	69.383	-0.036
77400	1	0.0000	0	-1.870	-36.624	34.022	-5.76	-22.88	-6.40	0.025	63.521	-0.015
77407	1	0.0000	0	-1.826	-36.626	34.062	-5.23	-21.92	-7.35	0.001	66.285	0.024
77414	1	0.0000	0	-1.778	-36.620	34.099	-4.64	-21.01	-8.43	0.014	71.229	0.034
77421	1	0.0000	0	-1.733	-36.614	34.132	-3.89	-20.34	-8.80	0.008	67.334	0.052
77428	1	0.0000	0	-1.697	-36.617	34.167	-4.16	-19.46	-8.87	0.020	66.346	0.050
77435	1	0.0000	0	-1.674	-36.630	34.200	-4.11	-19.33	-8.74	0.026	70.474	0.052
77442	1	0.0000	0	-1.652	-36.651	34.240	-4.37	-19.43	-7.97	0.031	66.692	0.018
77449	1	0.0000	0	-1.632	-36.680	34.286	-4.77	-19.96	-7.03	0.045	63.392	-0.004
77457	1	0.0000	0	-1.611	-36.715	34.339	-4.39	-20.58	-6.26	0.052	68.933	-0.033
77464	1	0.0000	0	-1.586	-36.750	34.394	-4.10	-21.38	-5.32	0.034	69.547	-0.054
77470	1	0.0000	0	-1.547	-36.774	34.452	-3.49	-21.98	-4.71	0.017	65.023	-0.042
77477	1	0.0000	0	-1.500	-36.788	34.507	-2.55	-22.04	-4.85	-0.000	67.795	-0.026
77484	1	0.0000	0	-1.442	-36.789	34.560	-1.44	-21.84	-5.52	-0.023	69.760	-0.010
77491	1	0.0000	0	-1.380	-36.783	34.608	-0.59	-21.25	-6.22	-0.063	63.914	0.008
77499	1	0.0000	0	-1.317	-36.772	34.652	-0.24	-20.16	-6.61	-0.071	63.903	0.026
77506	1	0.0000	0	-1.261	-36.759	34.690	0.07	-18.84	-6.86	-0.072	69.950	0.026
77513	1	0.0000	0	-1.209	-36.751	34.727	0.23	-17.76	-6.72	-0.057	68.008	0.018
77520	1	0.0000	0	-1.159	-36.744	34.765	0.01	-17.12	-6.61	-0.046	64.899	0.005
77526	1	0.0000	0	-1.117	-36.748	34.805	-0.03	-16.76	-5.99	-0.034	68.881	-0.022
77534	1	0.0000	0	-1.074	-36.758	34.853	-0.11	-16.49	-5.54	-0.012	68.041	-0.027
77541	1	0.0000	0	-1.035	-36.772	34.901	0.13	-16.68	-4.86	0.019	62.732	-0.046
77547	1	0.0000	0	-0.988	-36.786	34.956	0.50	-17.32	-4.37	0.027	65.550	-0.054
77554	1	0.0000	0	-0.938	-36.799	35.013	-0.03	-17.37	-3.90	0.061	69.867	-0.049
77561	1	0.0000	0	-0.880	-36.809	35.073	0.60	-18.07	-3.29	0.068	65.744	-0.032
77568	1	0.0000	0	-0.816	-36.816	35.136	0.99	-18.50	-2.52	0.077	64.891	-0.019
77575	1	0.0000	0	-0.753	-36.818	35.194	1.43	-18.60	-2.01	0.061	69.255	-0.011
77582	1	0.0000	0	-0.678	-36.808	35.250	2.16	-18.59	-1.91	0.046	66.128	0.022
77589	1	0.0000	0	-0.608	-36.790	35.295	3.01	-17.59	-1.96	0.025	61.717	0.034
77596	1	0.0000	0	-0.533	-36.768	35.339	3.53	-16.51	-2.61	0.008	66.430	0.045
77603	1	0.0000	0	-0.466	-36.747	35.377	3.84	-14.95	-2.79	-0.030	69.404	0.039
77610	1	0.0000	0	-0.406	-36.729	35.413	3.50	-13.77	-2.56	-0.039	64.932	0.038
77617	1	0.0000	0	-0.359	-36.719	35.445	3.16	-12.61	-2.01	-0.043	65.496	0.018
77624	1	0.0000	0	-0.318	-36.720	35.481	2.48	-11.97	-1.02	-0.026	68.962	-0.010
